Serial Number,Characteristic,Dimensions,Error
1,Diameter,6.249 6.248,
2,Diameter,6.56 6.54,
3,Diameter,. 500,
4,Diameter,""" PAt . 001 "" 000",-.
5,Diameter,""" C "" TYP .",
6,Length,• 06,
7,Length,38 TYP .,
8,Length,19 TYP .,
9,Length,1.371 1.369,
10,Length,1.12 -,
11,Length,03,
12,Length,. 44 -,
13,Length,. 25 TYP .,
14,Length,- 2.25 -,
15,Length,""" B """,
16,Perpendicularity,. 002 А - В,
17,Perpendicularity,. 002 A - B,
18,Runout,• 001,
19,Total Runout,. 002 A - B,
20,Roughness,63,
21,Roughness,63,
22,Roughness,63,
23,Roughness,231161 /,
24,Roughness,125,
25,Roughness,125,
26,Roughness,125,
